date,cases,deaths
2000-01-01,24766,3626
2001-01-01,24181,3821
2002-01-01,23334,3616
2003-01-01,22917,3453
2004-01-01,23025,3390
2005-01-01,21440,2990
2006-01-01,20928,3087
2007-01-01,20608,3060
2008-01-01,20425,3256
2009-01-01,19711,2728
2010-01-01,19132,2882
2011-01-01,18756,2615
2012-01-01,18094,2856
2013-01-01,17799,2824
2014-01-01,17399,2738
2015-01-01,17180,2439
2016-01-01,16798,2686
2017-01-01,16170,2388
2018-01-01,15719,2336
2019-01-01,15795,2467
2020-01-01,15240,2080
2021-01-01,15025,2393
2022-01-01,14614,1982
2023-01-01,13689,2022
2024-01-01,13483,2087
2025-01-01,13030,1938
